음원코드,자료명,제작사,저자_연주자,제작년도,장르,키워드,홈페이지 주소(URL)
강원도-01,한오백년,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 강효주 / 뒷소리 : 천혜인, 정유정, 김주연",2021,정악기악,"한오백년,중모리",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gangwondo-01.wav
강원도-02,강원도아리랑,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 강효주 / 뒷소리 : 천혜인, 정유정, 김주연",2021,정악기악,"강원도,아리랑,강원도아리랑",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gangwondo-02.wav
경기도-01,개고리 타령,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 강효주 / 뒷소리 : 천혜인, 정유정, 김주연",2021,정악기악,"개고리,타령,개고리타령,개구리타령",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-01.wav
경기도-02,건드렁 타령,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 강효주 / 뒷소리 : 천혜인, 정유정, 김주연",2021,정악기악,"건드렁,타령,건드렁타령",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-02.wav
경기도-03,경복궁 타령,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 강효주 / 뒷소리 : 천혜인, 정유정, 김주연",2021,정악기악,"경복궁,타령,경복궁타령,통속민요",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-03.wav
경기도-04,구아리랑,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 강효주 / 뒷소리 : 천혜인, 정유정, 김주연",2021,정악기악,"구아리랑,자진아리랑,유희요",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-04.wav
경기도-05,군밤타령,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 강효주 / 뒷소리 : 천혜인, 정유정, 김주연",2021,정악기악,"군밤타령,타령",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-05.wav
경기도-06,궁초댕기,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 강효주 / 뒷소리 : 천혜인, 정유정, 김주연",2021,정악기악,"궁초댕기,궁초,댕기",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-06.wav
경기도-07,금강산 타령,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 강효주 / 뒷소리 : 천혜인, 정유정, 김주연",2021,정악기악,"금강산,타령,금강산타령",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-07.wav
경기도-08,긴아리랑,국악방송,"음악감독 : 이경섭 / 연주 : 이경섭(장구), 이호진(피리), 김선호(대금), 윤서경(아쟁), 김보경(가야금), 김지희(해금) / 소리 : 강효주 / 뒷소리 : 천혜인, 정유정, 김주연",2021,정악기악,"긴아리랑,아리랑",https://www.igbf.kr/DataFiles/public_data/minyo/M021-Gyeonggido-08.wav
